"variety","Grand Rapids","Duluth","University Farm","Morris","Crookston","Waseca"
"Svansota",29.6667,25.7,35.1333,25.7667,40.4667,47.3333
"No. 462",24.9333,28.1,36.6,30.3667,48.5667,65.7667
"Manchuria",32.9667,28.9667,27,27.4333,39.9333,48.8667
"No. 475",19.7,33.0667,24.6667,22.6,44.1,46.7667
"Velvet",23.0333,26.3,39.9,26.1333,41.3333,50.2333
"Peatland",34.7,32,32.7667,29.8667,41.6,48.5667
"Glabron",29.1333,29.6667,43.0667,28.7667,38.1333,55.2
"No. 457",32.1667,33.6,43.2667,28.7,45.6667,58.1
"Wisconsin No. 38",34.4667,31.6,39.3,29.4667,49.8667,58.8
"Trebi",29.7667,33.9333,36.5667,43.7667,46.9333,63.8333
